原文(有{0}),翻譯
"{0}% increased [Attack] Speed while holding a Shield","持盾時，[Attack|攻擊]速度增加 {0}%"
"{0}% reduced [Attack] Speed while holding a Shield","持盾時，[Attack|攻擊]速度減少 {0}%"
"{0}% increased [Attack] Speed with Two Handed [Melee] Weapons","雙手[Melee|近戰]武器增加 {0}% [Attack|攻擊]速度"
"{0}% reduced [Attack] Speed with Two Handed [Melee] Weapons","雙手[Melee|近戰]武器減少 {0}% [Attack|攻擊]速度"
"{0}% increased [Attack] Speed with One Handed [Melee] Weapons","單手[Melee|近戰]武器增加 {0}% [Attack|攻擊]速度"
"{0}% reduced [Attack] Speed with One Handed [Melee] Weapons","單手[Melee|近戰]武器減少 {0}% [Attack|攻擊]速度"
"{0}% increased [Attack] Speed with [Axe|Axes]","[Axe|斧]增加 {0}% [Attack|攻擊]速度"
"{0}% reduced [Attack] Speed with [Axe|Axes]","[Axe|斧]減少 {0}% [Attack|攻擊]速度"
"{0}% increased [Attack] Speed with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖][Attack|攻擊]速度增加 {0}%"
"{0}% reduced [Attack] Speed with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖][Attack|攻擊]速度減少 {0}%"
"{0}% increased [Attack] Speed with Claws","爪增加 {0}% [Attack|攻擊]速度"
"{0}% reduced [Attack] Speed with Claws","爪減少 {0}% [Attack|攻擊]速度"
"{0}% increased [Attack] Speed with [Dagger|Daggers]","[Dagger|匕首]增加 {0}% [Attack|攻擊]速度"
"{0}% reduced [Attack] Speed with [Dagger|Daggers]","[Dagger|匕首]減少 {0}% [Attack|攻擊]速度"
"{0}% increased [Attack] Speed with Maces or Sceptres","錘或權杖增加 {0}% [Attack|攻擊]速度"
"{0}% reduced [Attack] Speed with Maces or Sceptres","錘或權杖減少 {0}% [Attack|攻擊]速度"
"{0}% increased [Attack] Speed with Bows","弓增加 {0}% [Attack|攻擊]速度"
"{0}% reduced [Attack] Speed with Bows","弓減少 {0}% [Attack|攻擊]速度"
"{0}% increased [Attack] Speed with Swords","劍增加 {0}% [Attack|攻擊]速度"
"{0}% reduced [Attack] Speed with Swords","劍減少 {0}% [Attack|攻擊]速度"
"{0}% increased [Attack] Speed with Wands","法杖增加 {0}% [Attack|攻擊]速度"
"{0}% reduced [Attack] Speed with Wands","法杖減少 {0}% [Attack|攻擊]速度"
"{0}% increased [Attack] Speed with [Spear|Spears]","[Spear|長鋒][Attack|攻擊]速度增加 {0}%"
"{0}% reduced [Attack] Speed with [Spear|Spears]","[Spear|長鋒][Attack|攻擊]速度減少 {0}%"
"{0}% increased Unarmed [Attack] Speed with [Melee] Skills","使用[Melee|近戰]技能時，空手[Attack|攻擊]速度增加 {0}%"
"{0}% reduced Unarmed [Attack] Speed with [Melee] Skills","使用[Melee|近戰]技能時，空手[Attack|攻擊]速度減少 {0}%"
"{0}% increased [Attack] Speed with Movement Skills","使用位移技能時，[Attack|攻擊]速度增加 {0}%"
"{0}% reduced [Attack] Speed with Movement Skills","使用位移技能時，[Attack|攻擊]速度減少 {0}%"
"{0}% increased Accuracy Rating while [DualWield|Dual Wielding]","[DualWield|雙持]時，命中值增加 {0}%"
"{0}% reduced Accuracy Rating while [DualWield|Dual Wielding]","[DualWield|雙持]時，命中值減少 {0}%"
"{0}% increased [Accuracy] Rating with One Handed [Melee] Weapons","單手[Melee|近戰]武器增加 {0}% [Accuracy|命中]值"
"{0}% reduced [Accuracy] Rating with One Handed [Melee] Weapons","單手[Melee|近戰]武器減少 {0}% [Accuracy|命中]值"
"{0}% increased [Accuracy] Rating with Two Handed [Melee] Weapons","雙手[Melee|近戰]武器增加 {0}% [Accuracy|命中]值"
"{0}% reduced [Accuracy] Rating with Two Handed [Melee] Weapons","雙手[Melee|近戰]武器減少 {0}% [Accuracy|命中]值"
"{0}% increased [Accuracy] Rating with [Axe|Axes]","[Axe|斧]增加 {0}% [Accuracy|命中]值"
"{0}% reduced [Accuracy] Rating with [Axe|Axes]","[Axe|斧]減少 {0}% [Accuracy|命中]值"
"{0}% increased [Accuracy] Rating with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖][Attack|命中]值增加 {0}%"
"{0}% reduced [Accuracy] Rating with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖][Attack|命中]值減少 {0}%"
"{0}% increased [Accuracy] Rating with [Dagger|Daggers]","[Dagger|匕首]增加 {0}% [Accuracy|命中]值"
"{0}% reduced [Accuracy] Rating with [Dagger|Daggers]","[Dagger|匕首]減少 {0}% [Accuracy|命中]值"
"{0}% increased [Accuracy] Rating with [Mace|Maces] or [Sceptre|Sceptres]","[Mace|錘]或[Sceptre|權杖]增加 {0}% [Accuracy|命中]值"
"{0}% reduced [Accuracy] Rating with [Mace|Maces] or [Sceptre|Sceptres]","[Mace|錘]或[Sceptre|權杖]減少 {0}% [Accuracy|命中]值"
"{0}% increased [Accuracy] Rating with [Spear|Spears]","[Spear|長鋒]增加 {0}% [Accuracy|命中]值"
"{0}% reduced [Accuracy] Rating with [Spear|Spears]","[Spear|長鋒]減少 {0}% [Accuracy|命中]值"
"[Critical|Critical Hits] with [Dagger|Daggers] [Poison] the Enemy",以[Dagger|匕首][Critical|暴擊]時，使敵人[Poison|中毒]
"[Critical|Critical Hits] with Bows have a {0}% chance to Poison the Enemy","以弓[Critical|暴擊]時，有 {0}% 機率使敵人中毒"
"[Critical|Critical Hits] with Bows Poison the Enemy",以弓[Critical|暴擊]時，使敵人中毒
"[Critical|Critical Hits] with [Dagger|Daggers] have a {0}% chance to [Poison] the Enemy","以[Dagger|匕首][Critical|暴擊]時，有 {0}% 機率使敵人[Poison|中毒]"
"{0}% [Critical|Critical Hit] Chance","有 {0}% [Critical|暴擊]率"
"{0}% increased Global [Critical|Critical Hit] Chance","全域[Critical|暴擊]率增加 {0}%"
"{0}% increased [Critical|Critical Hit Chance] with Bows","弓的[Critical|暴擊機率]增加 {0}%"
"{0}% reduced [Critical|Critical Hit Chance] with Bows","弓的[Critical|暴擊機率]減少 {0}%"
"{0}% increased [Critical|Critical Hit Chance] with Claws","爪的[Critical|暴擊機率]增加 {0}%"
"{0}% reduced [Critical|Critical Hit Chance] with Claws","爪的[Critical|暴擊機率]減少 {0}%"
"{0}% increased [Critical|Critical Hit Chance] with [Dagger|Daggers]","[Dagger|匕首]的[Critical|暴擊機率]增加 {0}%"
"{0}% reduced [Critical|Critical Hit Chance] with [Dagger|Daggers]","[Dagger|匕首]的[Critical|暴擊機率]減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance with Swords","劍的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance with Swords","劍的[Critical|暴擊]率減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance with Maces or Sceptres","錘或權杖的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance with Maces or Sceptres","錘或權杖的[Critical|暴擊]率減少 {0}%"
"{0}% increased [Critical|Critical Hit Chance] with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[Critical|暴擊機率]增加 {0}%"
"{0}% reduced [Critical|Critical Hit Chance] with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[Critical|暴擊機率]減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance with Wands","法杖的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance with Wands","法杖的[Critical|暴擊]率減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance with Axes","斧的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance with Axes","斧的[Critical|暴擊]率減少 {0}%"
"{0}% increased [Critical|Critical Hit Chance] with [Spear|Spears]","[Spear|長鋒]的[Critical|暴擊機率]增加 {0}%"
"{0}% reduced [Critical|Critical Hit Chance] with [Spear|Spears]","[Spear|長鋒]的[Critical|暴擊機率]減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance while holding a Shield","持盾時的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance while holding a Shield","持盾時的[Critical|暴擊]率減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance with Mines","地雷的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance with Mines","地雷的[Critical|暴擊]率減少 {0}%"
"{0}% increased [Critical|Critical Hit Chance] with Two Handed [Melee] Weapons","雙手[Melee|近戰]武器的[Critical|暴擊機率]增加 {0}%"
"{0}% reduced [Critical|Critical Hit Chance] with Two Handed [Melee] Weapons","雙手[Melee|近戰]武器的[Critical|暴擊機率]減少 {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Two Handed [Melee] Weapons","雙手[Melee|近戰]武器的[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% increased [Critical|Critical Hit Chance] with One Handed [Melee] Weapons","單手[Melee|近戰]武器的[Critical|暴擊機率]增加 {0}%"
"{0}% reduced [Critical|Critical Hit Chance] with One Handed [Melee] Weapons","單手[Melee|近戰]武器的[Critical|暴擊機率]減少 {0}%"
"{0}% increased [Melee] [Critical|Critical Hit Chance]","[Melee|近戰]的[Critical|暴擊機率]增加 {0}%"
"{0}% reduced [Melee] [Critical|Critical Hit Chance]","[Melee|近戰]的[Critical|暴擊機率]減少 {0}%"
"{0}% increased [Attack] [Critical|Critical Hit Chance] while [DualWield|Dual Wielding]","[DualWield|雙持]時，[Attack|攻擊]的[Critical|暴擊機率]增加 {0}%"
"{0}% reduced [Attack] [Critical|Critical Hit Chance] while [DualWield|Dual Wielding]","[DualWield|雙持]時，[Attack|攻擊]的[Critical|暴擊機率]減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance with Fire Skills","火焰技能的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance with Fire Skills","火焰技能的[Critical|暴擊]率減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance with Lightning Skills","閃電技能的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance with Lightning Skills","閃電技能的[Critical|暴擊]率減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance with Cold Skills","冰冷技能的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance with Cold Skills","冰冷技能的[Critical|暴擊]率減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance with Elemental Skills","元素技能的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance with Elemental Skills","元素技能的[Critical|暴擊]率減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance with Chaos Skills","混沌技能的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance with Chaos Skills","混沌技能的[Critical|暴擊]率減少 {0}%"
"{0}% increased [Critical|Critical Hit] Chance with Totem Skills","圖騰技能的[Critical|暴擊]率增加 {0}%"
"{0}% reduced [Critical|Critical Hit] Chance with Totem Skills","圖騰技能的[Critical|暴擊]率減少 {0}%"
"{0}% increased Global [Critical|Critical Hit] Chance if you've Summoned a Totem [Recently]","若你[Recently|近期]召喚一個圖騰，全域[Critical|暴擊]率增加 {0}%"
"{1}% increased Global [Critical|Critical Hit] Chance if you've Summoned a Totem in the past {0} seconds","若你在過去 {0} 秒內召喚一個圖騰，全域[Critical|暴擊]率增加 {1}%"
"{0}% increased [CriticalDamageBonus|Critical Damage Bonus] with [Dagger|Daggers]","[Dagger|匕首]的[CriticalDamageBonus|暴擊傷害加成]增加 {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Maces or Sceptres","錘或權杖[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Axes","斧[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% increased [CriticalDamageBonus|Critical Damage Bonus] with Bows","使用弓時[CriticalDamageBonus|暴擊傷害加成]增加 {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Swords","劍[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Wands","法杖[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Claws","爪[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% increased [CriticalDamageBonus|Critical Damage Bonus] with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[CriticalDamageBonus|暴擊傷害加成]增加 {0}%"
"{0}% reduced [CriticalDamageBonus|Critical Damage Bonus] with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[CriticalDamageBonus|暴擊傷害加成]減少 {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with [Spear|Spears]","長鋒暴擊加成 {0}%"
"{0}% increased [CriticalDamageBonus|Critical Damage Bonus] with One Handed [Melee] Weapons","單手[Melee|近戰]武器的[CriticalDamageBonus|暴擊傷害加成]增加 {0}%"
"{0}% to [Melee] [CriticalDamageBonus|Critical Damage Bonus]","[Melee|近戰][CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% to [Attack] [CriticalDamageBonus|Critical Damage Bonus] while Dual Wielding","雙持時，[Attack|攻擊][CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% to [Melee] [CriticalDamageBonus|Critical Damage Bonus] while holding a Shield","雙持時，[Melee|近戰][CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Mines","地雷[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Fire Skills","火焰技能[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Lightning Skills","閃電技能[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Cold Skills","冰冷技能[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Elemental Skills","元素技能[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Chaos Skills","混沌技能[CriticalDamageBonus|暴擊傷害加成] {0}%"
"You take {0}% reduced Extra Damage from [Critical|Critical Hits] per Endurance Charge","每有一個耐力球，承受[Critical|暴擊]的額外傷害減少 {0}%"
"You take {0}% increased Extra Damage from [Critical|Critical Hits] per Endurance Charge","每有一個耐力球，承受[Critical|暴擊]的額外傷害增加 {0}%"
"{0}% to [CriticalDamageBonus|Critical Damage Bonus] with Totem Skills","圖騰技能[CriticalDamageBonus|暴擊傷害加成] {0}%"
"{0}% reduced [EnemyStunThreshold|Enemy Stun Threshold] with Maces or Sceptres","錘或權杖的[EnemyStunThreshold|敵人暈眩門檻]減少 {0}%"
"{0}% reduced [EnemyStunThreshold|Enemy Stun Threshold] with Bows","弓的[EnemyStunThreshold|敵人暈眩門檻]減少 {0}%"
"[Knockback|Knocks Back] Enemies on [HitDamage|Hit]",[HitDamage|擊中]時會[Knockback|擊退]敵人
"{0}% increased [Spirit]","[Spirit|精魂]增加 {0}%"
"{0}% reduced [Spirit]","[Spirit|精魂]減少 {0}%"
"{0}% to maximum [Armour]","{0}% 最大[Armour|護甲值]"
"{0}% increased [Armour] and [Evasion] Rating","增加 {0}% [Armour|護甲值]和[Evasion|閃避]值"
"{0}% reduced [Armour] and [Evasion] Rating","減少 {0}% [Armour|護甲值]和[Evasion|閃避]值"
"{0} to [Evasion] Rating while on [LowLife|Low Life]","[LowLife|貧血狀態]時，{0} [Evasion|閃避]值"
"{0} to [Evasion] Rating while on Full Life","滿血時，{0} [Evasion|閃避]值"
"{0} to [Evasion] Rating per {1} Maximum [EnergyShield|Energy Shield] on Equipped Helmet","裝備的頭盔每 {1} 最大能量護盾 {0} 閃避值"
"{0}% increased [Evasion] Rating during Onslaught","猛攻期間增加 {0}% [Evasion|閃避]值"
"{0}% reduced [Evasion] Rating during Onslaught","猛攻期間減少 {0}% [Evasion|閃避]值"
"{0}% increased [Armour|Armour], [Evasion|Evasion] and [EnergyShield|Energy Shield]","[Armour|護甲值]、[Evasion|閃避]和[EnergyShield|能量護盾]增加 {0}%"
"{0}% reduced [Armour|Armour], [Evasion|Evasion] and [EnergyShield|Energy Shield]","[Armour|護甲值]、[Evasion|閃避]和[EnergyShield|能量護盾]減少 {0}%"
"{0}% increased [Evasion] Rating per Frenzy Charge","每有一個狂怒球，[Evasion|閃避]值增加 {0}%"
"{0}% reduced [Evasion] Rating per Frenzy Charge","每有一個狂怒球，[Evasion|閃避]值減少 {0}%"
"[ESRecharge|Energy Shield Recharge] has no delay",[ESRecharge|能量護盾充能]無延遲
"{0}% of [EnergyShield|Energy Shield] Recharged per second","每秒能量護盾回復 {0}%"
"{0}% of [EnergyShield|Energy Shield] Lost per minute","每分鐘能量護盾損失 {0}%"
"{0} to maximum [EnergyShield|Energy Shield] per {1} Reserved Life","每 {1} 保留生命，{0} 最大[EnergyShield|能量護盾]"
"{0} to maximum [EnergyShield|Energy Shield] per {1} [Evasion] Rating on Equipped Body Armour","裝備的胸甲每 {1} 閃避值 {0} 最大能量護盾"
"{0}% increased [EnergyShield|Energy Shield] Recovery rate","[EnergyShield|能量護盾]恢復率增加 {0}%"
"{0}% reduced [EnergyShield|Energy Shield] Recovery rate","[EnergyShield|能量護盾]恢復率減少 {0}%"
"{0}% increased maximum Life, Mana and [EnergyShield|Energy Shield]","增加 {0}% 最大生命、魔力和[EnergyShield|能量護盾]"
"{0}% reduced maximum Life, Mana and [EnergyShield|Energy Shield]","減少 {0}% 最大生命、魔力和[EnergyShield|能量護盾]"
"Regenerate {0}% of Mana per second per [Charges|Power Charge]","每顆暴擊球每秒回復 {0}% 魔力"
"{0}% increased Global maximum [EnergyShield|Energy Shield] and reduced Lightning Resistance","增加 {0}% 全域最大[EnergyShield|能量護盾]並減少閃電抗性"
"{0}% reduced Global maximum [EnergyShield|Energy Shield] and increased Lightning Resistance","減少 {0}% 全域最大[EnergyShield|能量護盾]並增加閃電抗性"
"{0}% increased Quantity of Items found when on [LowLife|Low Life]","[LowLife|貧血狀態]時找到的物品數量增加 {0}%"
"{0}% reduced Quantity of Items found when on [LowLife|Low Life]","[LowLife|貧血狀態]時找到的物品數量減少 {0}%"
"{0}% increased [ItemRarity|Rarity] of Items found when on [LowLife|Low Life]","[LowLife|貧血狀態]時找到的物品[ItemRarity|稀有度]增加 {0}%"
"{0}% reduced [ItemRarity|Rarity] of Items found when on [LowLife|Low Life]","[LowLife|貧血狀態]時找到的物品[ItemRarity|稀有度]減少 {0}%"
"Immune to [Fire] Damage",免疫[Fire|火焰]傷害
"{0} to Level of all [Physical|Physical] [Spell|Spell] Skills","所有[Physical|物理][Spell|法術]技能的等級 {0}"
"{0}% to all Elemental Resistances while on [LowLife|Low Life]","[LowLife|貧血狀態]時，所有元素抗性 {0}%"
"{0}% to [Resistances|Fire Resistance] while on [LowLife|Low Life]","[LowLife|貧血狀態]時，[Resistances|火焰抗性] {0}%"
"{0}% increased [BuffEffect|effect] of Temporal Chains on you","你身上的時空鎖鏈[BuffEffect|效果]增加 {0}%"
"{0}% increased Effect of [Chill|Chill] on you","你身上的[Chill|冰緩]效果增加 {0}%"
"{0}% reduced Effect of [Chill|Chill] on you","減少 {0}% 你所承受的[Chill|冰緩]效果"
"Recover {0}% of [EnergyShield|Energy Shield] on Kill for each different type of Mastery you have Allocated","根據你配置每個不同類型的專精，擊殺時恢復 {0}% 能量護盾"
"[LifeLeech|Leech] {0}% of Physical [Attack] Damage against Bleeding Enemies as Life","[LifeLeech|偷取]相當於對流血敵人所造成的物理[Attack|攻擊]傷害 {0}% 的生命"
"Gain {0} Life and Mana per Enemy Hit with [Attack|Attacks]","[Attack|攻擊]每擊中一名敵人，獲得 {0} 生命和魔力"
"Lose {0} Life and Mana per Enemy Hit with [Attack|Attacks]","[Attack|攻擊]每擊中一名敵人，失去 {0} 生命和魔力"
"Gain {0} Life for each Ignited Enemy hit with [Attack|Attacks]","[Attack|攻擊]每點燃一名敵人，獲得 {0} 生命"
"Lose {0} Life for each Ignited Enemy hit with [Attack|Attacks]","[Attack|攻擊]每點燃一名敵人，失去 {0} 生命"
"Gain {0} Mana per Enemy Hit with [Attack|Attacks]","[Attack|攻擊]每擊中一名敵人，獲得 {0} 魔力"
"Lose {0} Mana per Enemy Hit with [Attack|Attacks]","[Attack|攻擊]每擊中一名敵人，失去 {0} 魔力"
"Gain {0} [EnergyShield|Energy Shield] per Enemy Hit with [Attack|Attacks]","[Attack|攻擊]每擊中一名敵人，獲得 {0} [EnergyShield|能量護盾]"
"Lose {0} [EnergyShield|Energy Shield] per Enemy Hit with [Attack|Attacks]","[Attack|攻擊]每擊中一名敵人，失去 {0} [EnergyShield|能量護盾]"
"[LifeLoss|Lose] {0}% of Life on Kill","擊殺時失去 {0}% 生命"
"Recover {0}% of [EnergyShield|Energy Shield] on Kill","擊殺時恢復 {0}% 能量護盾"
"Lose {0}% of [EnergyShield|Energy Shield] on Kill","擊殺時失去 {0}% 能量護盾"
"Recover {0}% of Mana when you Kill a [Curse|Cursed] Enemy","當你擊殺被詛咒的敵人時，恢復 {0}% 魔力"
"{0} Life gained when you [Block|Block]","你[Block|格擋]時獲得 {0} 生命"
"Lose {0} Life when you [Block|Block]","你[Block|格擋]時失去 {0} 生命"
"{0} Mana gained when you [Block|Block]","你[Block|格擋]時獲得 {0} 魔力"
"Lose {0} Mana when you [Block|Block]","你[Block|格擋]時失去 {0} 魔力"
"Gain {0} [EnergyShield|Energy Shield] when you Block","你格擋時獲得 {0} [EnergyShield|能量護盾]"
"Lose {0} [EnergyShield|Energy Shield] when you Block","你格擋時失去 {0} [EnergyShield|能量護盾]"
"Recover {0} Life when you [Block]","你[Block|格擋]時恢復 {0} 生命"
"[Minion|Minions] recover {0} Life when they [Block]","[Minion|召喚物][Block|格擋]時恢復 {0} 生命"
"Minions have {0}% increased maximum [EnergyShield|Energy Shield]","召喚物的最大[EnergyShield|能量護盾]增加 {0}%"
"Minions have {0}% reduced maximum [EnergyShield|Energy Shield]","召喚物的最大[EnergyShield|能量護盾]減少 {0}%"
"[Minion|Minions] have {0}% increased Movement Speed","[Minion|召喚物]移動速度增加 {0}%"
"[Minion|Minions] have {0}% reduced Movement Speed","[Minion|召喚物]移動速度減少 {0}%"
"{0}% increased [Totem] Life","[Totem|圖騰]生命增加 {0}%"
"{0}% reduced [Totem] Life","[Totem|圖騰]生命減少 {0}%"
"{0}% increased Totem [EnergyShield|Energy Shield]","圖騰[EnergyShield|能量護盾]增加 {0}%"
"{0}% reduced Totem [EnergyShield|Energy Shield]","圖騰[EnergyShield|能量護盾]減少 {0}%"
"{0}% increased [Totem] Duration","[Totem|圖騰]持續時間增加 {0}%"
"{0}% reduced [Totem] Duration","[Totem|圖騰]持續時間減少 {0}%"
"Arrows [Pierce] an additional Target","箭矢會[Pierce|穿透]額外 1 名目標"
"Arrows [Pierce] {0} additional Targets","箭矢會[Pierce|穿透]額外 {0} 名目標"
"Lose all Frenzy Charges on reaching Maximum Frenzy Charges to make the next Bow [Attack] you perform fire that many additional Arrows",到達最大狂怒球時失去全部狂怒球，使你下個弓的弓擊發射許多額外箭矢
"Bow [Attack|Attacks] fire {0} additional Arrows if you haven't Cast Dash recently","若你近期沒有施放幻步，弓[Attack|攻擊]會發射 {0} 支額外箭矢"
"{0}% increased Bolt Speed","增加 {0}% 弩箭速度"
"{0}% reduced Bolt Speed","減少 {0}%弩箭速度"
"{0}% increased Movement Speed when on [LowLife|Low Life]","[LowLife|貧血狀態]時，移動速度增加 {0}%"
"{0}% reduced Movement Speed when on [LowLife|Low Life]","[LowLife|貧血狀態]時，移動速度減少 {0}%"
"Regenerate {0}% of [EnergyShield|Energy Shield] per second while on [LowLife|Low Life]","貧血時每秒回復 {0}% 能量護盾"
"{0}% increased Movement Speed per [Charges|Frenzy Charge]","每有一個[Charges|狂怒球]，移動速度增加 {0}%"
"Gain an Endurance Charge on [Critical|Critical Hit]",[Critical|暴擊]時獲得一個耐力球
"{0}% chance to gain an Endurance Charge on [Critical|Critical Hit]","[Critical|暴擊]時有 {0}% 機率獲得一個耐力球"
"{0}% chance to gain an Endurance Charge on [Melee] [Critical|Critical Hit]","[Melee|近戰][Critical|暴擊]時有 {0}% 機率獲得一個耐力球"
"Gain an Endurance Charge on [Melee] [Critical|Critical Hit]",[Melee|近戰][Critical|暴擊]時獲得一個耐力球
"{0}% chance to gain an Endurance Charge on Bow [Critical|Critical Hit]","弓[Critical|暴擊]時有 {0}% 機率獲得一個耐力球"
"Gain an Endurance Charge on Bow [Critical|Critical Hit]",弓[Critical|暴擊]時獲得一個耐力球
"Skills [Chain] an additional time while at maximum [Charges|Frenzy Charges]","最大[Charges|狂怒球]狀態下，技能額外[Chain|連鎖] 1 次"
"Skills [Chain] {0} additional times while at maximum [Charges|Frenzy Charges]","最大[Charges|狂怒球]狀態下，技能額外[Chain|連鎖] {0} 次"
"Gain a Frenzy Charge on [Critical|Critical Hit]","[Critical|暴擊]時獲得 1 個狂怒球"
"{0}% chance to gain a [Charges|Power Charge] on [Critical|Critical Hit]","[Critical|暴擊]時有 {0}% 機率獲得一個[Charges|暴擊球]"
"Gain a [Charges|Power Charge] on [Critical|Critical Hit]",[Critical|暴擊]時獲得一個[Charges|暴擊球]
"Gain a Power Charge on [Melee] [Critical|Critical Hit]",[Melee|近戰][Critical|暴擊]時獲得一個暴擊球
"{0}% chance to gain a [Charges|Power Charge] on [HitDamage|Hit]","[HitDamage|擊中]時有 {0}% 機率獲得一個[Charges|暴擊球]"
"Gain an Endurance Charge when you take a [Critical|Critical Hit]",你承受[Critical|暴擊]時獲得一個耐力球
"You cannot be [Chill|Chilled] or [Frozen]",你無法被[Chill|冰緩]或[Frozen|冰凍]
"{0}% chance to Avoid being [Chill|Chilled]","避免被[Chill|冰緩]的機率有 {0}%"
"{0}% chance to Avoid being [Freeze|Frozen]","避免被[Freeze|冰凍]的機率有 {0}%"
"{0}% chance to Avoid being [Ignite|Ignited]","避免被[Ignite|點燃]的機率有 {0}%"
"{0}% chance to Avoid being Ignited while on [LowLife|Low Life]","[LowLife|貧血狀態]時，避免被點燃的機率有 {0}%"
"{0}% chance to Avoid being [Shock|Shocked]","避免被[Shock|感電]的機率有 {0}%"
"Hits always [Ignite]",擊中必定造成[Ignite|點燃]
"{0}% increased Duration of [Ailments|Ailments] on Enemies","敵人身上的[Ailments|異常狀態]持續時間增加 {0}%"
"{0}% reduced Duration of [Ailments|Ailments] on Enemies","敵人身上的[Ailments|異常狀態]持續時間減少 {0}%"
"{0}% increased Duration of Elemental [Ailments] on Enemies","敵人身上的元素[Ailments|異常狀態]持續時間增加 {0}%"
"{0}% reduced Duration of Elemental [Ailments] on Enemies","敵人身上的元素[Ailments|異常狀態]持續時間減少 {0}%"
"{0}% increased Stun Duration with Two Handed [Melee] Weapons on Enemies","雙手[Melee|近戰]武器對敵人造成的暈眩持續時間增加 {0}%"
"{0}% reduced Stun Duration with Two Handed [Melee] Weapons on Enemies","雙手[Melee|近戰]武器對敵人造成的暈眩持續時間減少 {0}%"
"{0} to Level of Skills","技能等級 {0}"
"{0}% increased Mana Cost of Skills while on Full [EnergyShield|Energy Shield]","處於滿[EnergyShield|能量護盾]時，技能的魔力消耗增加 {0}%"
"{0}% reduced Mana Cost of Skills while on Full [EnergyShield|Energy Shield]","處於滿[EnergyShield|能量護盾]時，技能的魔力消耗減少 {0}%"
