"Life Regen",生命回复
"Mines Hinder Enemies near them for {0} seconds when they Land, reducing Movement Speed by {1}","地雷着陆时使它们附近的敌人缓速 {0} 秒，移动速度降低 {1}"
"Adds {0} to {1} Chaos Damage to Spells and Attacks per {2} Strength","每有 {2} 点力量就给法术和攻击附加 {0} 到 {1} 点混沌伤害"
"Adds {0} to {1} Chaos Damage to Attacks per {2} Strength","每 {2} 点力量都使攻击附加 {0} 到 {1} 点混沌伤害"
"{0} increased Minion Accuracy Rating","召唤生物命中值提高 {0}"
"{0} reduced Minion Accuracy Rating","召唤生物命中值降低 {0}"
"Minions have {0} increased Area of Effect if you have used a Minion Skill Recently","若你近期内使用了召唤生物技能，则召唤生物的效果区域扩大 {0}"
"Minions have {0} reduced Area of Effect if you have used a Minion Skill Recently","若你近期内使用了召唤生物技能，则召唤生物的效果区域降低 {0}"
"Minions have {0} increased Attack and Cast Speed","召唤生物的攻击和施法速度加快 {0}"
"Minions have {0} reduced Attack and Cast Speed","召唤生物的攻击和施法速度减慢 {0}"
"Minions have {0} increased Attack and Cast Speed if you or your Minions have Killed Recently","若你近期内或你的召唤生物击败过敌人，则召唤生物攻击和施法速度提高 {0}"
"Minions have {0} reduced Attack and Cast Speed if you or your Minions have Killed Recently","若你近期内或你的召唤生物击败过敌人，则召唤生物攻击和施法速度降低 {0}"
"{0} increased Minion Attack and Cast Speed per {1} Devotion","每 {1} 点奉献使召唤生物攻击和施法速度提高 {0}"
"{0} reduced Minion Attack and Cast Speed per {1} Devotion","每 {1} 点奉献使召唤生物攻击和施法速度降低 {0}"
"Minions have {0} increased Attack and Cast Speed while you are affected by a Herald","你受捷影响时，召唤生物的攻击和施法速度加快 {0}"
"Minions have {0} reduced Attack and Cast Speed while you are affected by a Herald","你受捷影响时，召唤生物的攻击和施法速度减慢 {0}"
"Minions have {0} chance to Knock Enemies Back on Hit with Attacks","召唤生物的攻击击中有 {0} 的几率击退敌人"
"{0} increased Minion Attack Speed per {1} Dexterity","每 {1} 点敏捷可使召唤生物的攻击速度提高 {0}"
"{0} reduced Minion Attack Speed per {1} Dexterity","每 {1} 点敏捷可使召唤生物的攻击速度降低 {0}"
"Minions have {0} chance to Blind on Hit with Attacks","攻击击中时，召唤生物有 {0} 的几率致盲敌人"
"Minions have {0} chance to deal Double Damage","召唤生物有 {0} 的几率造成双倍伤害"
"Minions have {0} chance to deal Double Damage while they are on Full Life","召唤生物在满血时，有 {0} 的几率造成双倍伤害"
"Minions have {0} chance to Dodge Spell Hits","召唤生物有 {0} 的几率躲避法术击中"
"Minions have {0} chance to Freeze, Shock and Ignite","召唤生物有 {0} 的几率使敌人受到冰冻，感电与点燃"
"Minions have {0} chance to gain a Power Charge on Hit","召唤生物击中时，有 {0} 的几率获得一个暴击球"
"Minions have {0} chance to Ignite","召唤生物有 {0} 的几率施加【点燃】"
"Minions have a {0} chance to Impale on Hit with Attacks","召唤生物的攻击击中有 {0} 的几率施加【穿刺】"
"Minions have {0} increased Critical Strike Chance","召唤生物的暴击率提高 {0}"
"Minions have {0} reduced Critical Strike Chance","召唤生物的暴击率降低 {0}"
"Minions have {0} to Critical Strike Multiplier","召唤生物 {0} 暴击伤害加成"
"Minions deal {0} increased Damage against Ignited Enemies","对抗被【点燃】的敌人时，召唤生物的伤害提高 {0}"
"Minions deal {0} reduced Damage against Ignited Enemies","对抗被【点燃】的敌人时，召唤生物的伤害降低 {0}"
"Minions deal {0} increased Damage if you've Hit Recently","若你近期内击中敌人，则召唤生物的伤害提高 {0}"
"Minions deal {0} reduced Damage if you've Hit Recently","若你近期内击中敌人，则召唤生物的伤害降低 {0}"
"Minions deal {0} increased Damage against Abyssal Monsters","召唤生物对深渊怪物的伤害提高 {0}"
"Minions deal {0} reduced Damage against Abyssal Monsters","召唤生物对深渊怪物的伤害降低 {0}"
"Minions deal {0} increased Damage while you are affected by a Herald","你受捷影响时，召唤生物的伤害提高 {0}"
"Minions deal {0} reduced Damage while you are affected by a Herald","你受捷影响时，召唤生物的伤害降低 {0}"
"Minions take {0} increased Damage","召唤生物受到的伤害提高 {0}"
"Minions take {0} reduced Damage","召唤生物受到的伤害降低 {0}"
"Minions gain {0} of Elemental Damage as Extra Chaos Damage","召唤生物获得额外混沌伤害，其数值等同于元素伤害的 {0}"
"Your Minions spread Burning Ground on Death, dealing {0} of their maximum Life as Fire Damage per second","你的召唤生物死亡时产生燃烧地面，每秒造成等同它们最大生命 {0} 的火焰伤害"
"Minions have {0} to Fire Resistance","召唤生物的火焰抗性 {0}"
"{0} chance to gain a Rampage Kill when Minion hits a Unique Enemy","当召唤生物击中传奇敌人时，有 {0} 的几率获得一层暴走状态"
"Minions Leech {0} of Damage as Life against Poisoned Enemies","召唤生物对中毒的敌人造成伤害的 {0} 转化为生命偷取"
"Minions have {0} chance to Maim Enemies on Hit with Attacks","召唤生物的攻击击中有 {0} 的几率瘫痪敌人"
"Minions Maim Enemies on Hit with Attacks",召唤生物的攻击击中时瘫痪敌人
"Minions have {0} to all maximum Elemental Resistances","召唤生物获得 {0} 最大全元素抗性"
"Minions gain {0} of Maximum Life as Extra Maximum Energy Shield","召唤生物获得等同 {0} 最大生命的额外能量护盾"
"Minions deal {0} increased Melee Damage","召唤生物的近战伤害提高 {0}"
"Minions deal {0} reduced Melee Damage","召唤生物的近战伤害降低 {0}"
"{0} increased Minion Movement Speed per {1} Dexterity","每 {1} 点敏捷可使召唤生物的移动速度提高 {0}"
"{0} reduced Minion Movement Speed per {1} Dexterity","每 {1} 点敏捷可使召唤生物的移动速度降低 {0}"
"Minions have {0} increased Movement Speed for each Herald affecting you","每有一个影响你的捷效果，都使召唤生物的移动速度加快 {0}"
"Minions have {0} reduced Movement Speed for each Herald affecting you","每有一个影响你的捷效果，都使召唤生物的移动速度减慢 {0}"
"Minions are Created with maximum Frenzy Charges",召唤生物产生时具有达到数量上限的狂怒球
"{0} chance for Minions to be Created with maximum Frenzy Charges","召唤生物产生时，有 {0} 的几率具有最大狂怒球"
"Minions gain {0} of Physical Damage as Extra Fire Damage","召唤生物获得等同于 {0} 物理伤害的额外火焰伤害"
"Minions have {0} increased Projectile Speed","召唤生物的投射物速度加快 {0}"
"Minions have {0} reduced Projectile Speed","召唤生物的投射物速度减慢 {0}"
"Summoned Raging Spirits have {0} increased maximum Life","愤怒狂灵的最大生命提高 {0}"
"Summoned Raging Spirits have {0} reduced maximum Life","愤怒狂灵的最大生命降低 {0}"
"Summoned Raging Spirits take {0} of their Maximum Life per second as Chaos Damage","愤怒狂灵每秒受到等同于最大生命 {0} 的混沌伤害"
"Minions Recover {0} of Life on Minion Death","召唤生物被击败时，其它召唤生物回复 {0} 生命"
"{0} increased Mana Cost of Minion Skills","召唤生物技能的魔力消耗提高 {0}"
"{0} reduced Mana Cost of Minion Skills","召唤生物技能的魔力消耗降低 {0}"
"Minions have {0} chance to Hinder Enemies on Hit with Spells, with {1} reduced Movement Speed","召唤生物的法术击中时有 {0} 的几率使敌人的移动速度降低 {1}"
"Minions Hinder Enemies on Hit with Spells, with {0} reduced Movement Speed","召唤生物的法术击中时，使敌人的移动速度降低 {0}"
"Minions have {0} reduced Enemy Stun Threshold","召唤生物的敌人眩晕门槛降低 {0}"
"Minions have {0} increased Enemy Stun Threshold","召唤生物的敌人眩晕门槛提高 {0}"
"Minions created Recently have {0} increased Attack and Cast Speed","近期内创造的召唤生物攻击和施法速度加快 {0}"
"Minions created Recently have {0} reduced Attack and Cast Speed","近期内创造的召唤生物攻击和施法速度减慢 {0}"
"Minions created Recently have {0} increased Movement Speed","近期内创造的召唤生物移动速度加快 {0}"
"Minions created Recently have {0} reduced Movement Speed","近期内创造的召唤生物移动速度减慢 {0}"
"Minions have {0} chance to Intimidate Enemies for {1} seconds on Hit","召唤生物在击中时有 {0} 的几率威吓敌人 {1} 秒"
"Minions gain {0} of Physical Damage as Extra Chaos Damage","召唤生物将物理伤害的 {0} 视为额外混沌伤害"
"Minions Recover {0} of Life on Killing a Poisoned Enemy","击败中毒敌人后，召唤生物回复 {0} 生命"
"Minions Recover {0} of their Life when you Focus","你在专注时，召唤生物回复 {0} 生命"
"Minions take Chaos Damage equal to {0} of their Life over one second Life when Created","召唤生物产生时在一秒内承受等于它 {0} 生命的伤害"
"Molten Shell has {0} increased Skill Effect Duration","【熔岩护盾】的技能效果持续时间延长 {0}"
"Molten Shell has {0} reduced Skill Effect Duration","【熔岩护盾】的技能效果持续时间缩短 {0}"
"Molten Shell Reflected Damage Penetrates {0} of Enemy Fire Resistance","熔岩护盾的反射伤害穿透 {0} 火焰抗性"
"Pyroclast Mine deals {0} increased Damage","火屑地雷的伤害提高 {0}"
"Pyroclast Mine deals {0} reduced Damage","火屑地雷的伤害降低 {0}"
"Pyroclast Mine has {0} increased Throwing Speed","火屑地雷投掷速度提高 {0}"
"Pyroclast Mine has {0} reduced Throwing Speed","火屑地雷投掷速度降低 {0}"
"Movement Attack Skills have {0} increased Attack Speed","位移攻击技能的攻击速度提高 {0}"
"Movement Attack Skills have {0} reduced Attack Speed","位移攻击技能的攻击速度降低 {0}"
"{0} increased Cooldown Recovery Rate of Movement Skills","位移技能的的冷却恢复速度提高 {0}"
"{0} reduced Cooldown Recovery Rate of Movement Skills","位移技能的的冷却恢复速度降低 {0}"
"{0} increased Cooldown Recovery Rate of Movement Skills used while affected by Haste","受到【迅捷】影响时，移动技能的冷却速度提高 {0}"
"{0} reduced Cooldown Recovery Rate of Movement Skills used while affected by Haste","受到【迅捷】影响时，移动技能的冷却速度降低 {0}"
"{0} increased Movement Speed if you've thrown a Trap or Mine Recently","若你近期内投掷过陷阱或地雷，则移动速度提高 {0}"
"{0} reduced Movement Speed if you've thrown a Trap or Mine Recently","若你近期内投掷过陷阱或地雷，则移动速度降低 {0}"
"Your Movement Speed is {0} of its base value","你的移动速度变为基础值的 {0}"
"{0} increased Movement Speed if you've dealt a Critical Strike Recently","若你近期内造成暴击，则移动速度加快 {0}"
"{0} reduced Movement Speed if you've dealt a Critical Strike Recently","若你近期内造成暴击，则移动速度减慢 {0}"
"{0} increased Movement Speed if you've Hit an Enemy Recently","若你近期内击中敌人，则移动速度提高 {0}"
"{0} reduced Movement Speed if you've Hit an Enemy Recently","若你近期内击中敌人，则移动速度降低 {0}"
"{0} increased Movement Speed if you've Hit with your Off Hand Weapon Recently","若你近期内用副手武器击中，则移动速度加快 {0}"
"{0} reduced Movement Speed if you've Hit with your Off Hand Weapon Recently","若你近期内用副手武器击中，则移动速度减慢 {0}"
"{0} increased Movement Speed if you've Cast Dash recently","若你近期施放过冲刺，则移动速度加快 {0}"
"{0} reduced Movement Speed if you've Cast Dash recently","若你近期施放过冲刺，则移动速度减慢 {0}"
"{0} increased Movement Speed if you haven't taken Damage Recently","若你近期内没受到伤害，则移动速度提高 {0}"
"{0} reduced Movement Speed if you haven't taken Damage Recently","若你近期内没受到伤害，则移动速度降低 {0}"
"{0} increased Movement Speed if you have used a Vaal Skill Recently","若你近期内使用过瓦尔技能，则移动速度提高 {0}"
"{0} reduced Movement Speed if you have used a Vaal Skill Recently","若你近期内使用过瓦尔技能，则移动速度降低 {0}"
"{0} increased Movement Speed per Chest opened Recently","近期内每打开 1 个箱子，移动速度提高 {0}"
"{0} reduced Movement Speed per Chest opened Recently","近期内每打开 1 个箱子，移动速度降低 {0}"
"{0} increased Movement Speed per Endurance Charge","每个耐力球可使移动速度提高 {0}"
"{0} reduced Movement Speed per Endurance Charge","每个耐力球可使移动速度降低 {0}"
"{0} increased Movement Speed for each nearby Enemy, up to {1}","身边每有 1 个敌人，自己的移动速度提高 {0}，最多 {1}"
"{0} increased Movement Speed per Power Charge","每个暴击球可使移动速度提高 {0}"
"{0} reduced Movement Speed per Power Charge","每个暴击球可使移动速度降低 {0}"
"{0} increased Movement Speed while affected by Grace","受到【优雅】影响时，移动速度提高 {0}"
"{0} reduced Movement Speed while affected by Grace",受到【优雅】影响时，移动速度降低{0}
"{0} increased Movement Speed while Bleeding","流血时移动速度提高 {0}"
"{0} reduced Movement Speed while Bleeding","流血时移动速度降低 {0}"
"{0} increased Movement Speed while holding a Shield","持盾牌时，移动速度加快 {0}"
"{0} reduced Movement Speed while holding a Shield","持盾牌时，移动速度减慢 {0}"
"{0} increased Movement Speed while under no Flask Effects","没有药剂效果时，移动速度加快 {0}"
"{0} reduced Movement Speed while under no Flask Effects","没有药剂效果时，移动速度减慢 {0}"
"{0} increased Movement speed while on Burning, Chilled or Shocked ground","在燃烧，冰缓，感电地面上时，移动速度提高 {0}"
"{0} reduced Movement speed while on Burning, Chilled or Shocked ground","在燃烧，冰缓，感电地面上时，移动速度降低 {0}"
"{0} increased Movement Speed while on Burning Ground","在燃烧地面上时，移动速度提高 {0}"
"{0} reduced Movement Speed while on Burning Ground","在燃烧地面上时，移动速度降低 {0}"
"{0} increased Movement Speed while Poisoned","中毒时，移动速度加快 {0}"
"{0} reduced Movement Speed while Poisoned","中毒时，移动速度减慢 {0}"
"{0} increased Movement Speed while you have Cat's Stealth","你获得【猫之隐匿】时移动速度提高 {0}"
"{0} reduced Movement Speed while you have Cat's Stealth","你获得【猫之隐匿】时移动速度降低 {0}"
"{0} increased Movement Speed while you have Energy Shield","拥有能量护盾时移动速度提高 {0}"
"{0} reduced Movement Speed while you have Energy Shield","拥有能量护盾时移动速度降低 {0}"
"{0} increased Movement Speed while you have Infusion","【灌注】效果下，移动速度加快 {0}"
"{0} reduced Movement Speed while you have Infusion","【灌注】效果下，移动速度减慢 {0}"
"{0} increased Movement Speed per Summoned Totem","每个召唤的图腾使移动速度提高 {0}"
"{0} reduced Movement Speed per Summoned Totem","每个召唤的图腾使移动速度降低 {0}"
"{0} increased Movement Speed while at maximum Power Charges","暴击球抵达上限时，移动速度提高 {0}"
"{0} reduced Movement Speed while at maximum Power Charges","暴击球抵达上限时，移动速度降低 {0}"
"{0} increased Movement Speed while Chilled","冰缓时，移动速度加快 {0}"
"{0} reduced Movement Speed while Chilled","冰缓时，移动速度减慢 {0}"
"Nearby Enemies have Fire, Cold and Lightning Exposure while you have Phasing, applying {0} to those Resistances","【迷踪】状态下，附近的敌人获得火焰、冰霜、闪电曝露，使它们的抗性 {0}"
"Nearby Enemies are Blinded while Physical Aegis is not depleted",周围敌人在物理神盾没有耗尽时目盲
"Nearby Enemies are Crushed while you have at least {0} Rage","周围敌人在你至少有 {0} 点怒火时被碾压"
"Projectiles cannot collide with Enemies at Close Range",投射物不能弹开近程的敌人
"With at least one nearby corpse, you and nearby Allies deal {0} more Damage","当周围有至少 1 个灵柩，你与周围友军的总伤害额外提高 {0}"
"With at least one nearby corpse, you and nearby Allies deal {0} less Damage","当周围有至少 1 个灵柩，你与周围友军的总伤害额外降低 {0}"
"With at least one nearby corpse, nearby Enemies deal {0} increased Damage","当周围有至少 1 个灵柩，周围敌人的伤害提高 {0}"
"With at least one nearby corpse, nearby Enemies deal {0} reduced Damage","当周围有至少 1 个灵柩，周围敌人的伤害降低 {0}"
"Minions have {0} more Maximum Life","召唤生物的最大生命总值额外提高 {0}"
"Minions have {0} less Maximum Life","召唤生物的最大生命总值额外降低 {0}"
"For each nearby corpse, you and nearby Allies Regenerate {0} of Energy Shield per second, up to {1} per second","周围每个灵枢使你和周围友军每秒回复 {0} 能量护盾，每秒最多 {1}"
"Necrotic Footprints ",幽魂之息
"Cannot Ignite, Chill, Freeze or Shock",无法点燃、冰缓、冻结、感电
"Gain {0} of Non-Chaos Damage as extra Chaos Damage","获得额外混沌伤害，其数值等同于非混沌伤害的 {0}"
"{0} increased effect of Non-Curse Auras per {1} Devotion","每 {1} 点奉献使非诅咒类光环效果提高 {0}"
"{0} reduced effect of Non-Curse Auras per {1} Devotion","每 {1} 点奉献使非诅咒类光环效果降低 {0}"
"{0} increased Effect of Non-Curse Auras from your Skills on Enemies","你的技能施加给敌人的非诅咒光环效果提高 {0}"
"{0} reduced Effect of Non-Curse Auras from your Skills on Enemies","你的技能施加给敌人的非诅咒光环效果降低 {0}"
"{0} increased Effect of Non-Damaging Ailments","非伤害型异常状态效果提高 {0}"
"{0} reduced Effect of Non-Damaging Ailments","非伤害型异常状态效果降低 {0}"
"{0} increased Effect of Non-Damaging Ailments on you","你身上的非伤害型异常状态效果提高 {0}"
"{0} reduced Effect of Non-Damaging Ailments on you","你身上的非伤害型异常状态效果降低 {0}"
"{0} increased Effect of non-Damaging Ailments on you during Effect of any Life or Mana Flask","任意生命和魔力药剂持续期间，你身上的非伤害型异常状态效果提高 {0}"
"{0} reduced Effect of non-Damaging Ailments on you during Effect of any Life or Mana Flask","任意生命和魔力药剂持续期间，你身上的非伤害型异常状态效果降低 {0}"
"{0} increased Effect of non-Damaging Ailments on Enemies per {1} Devotion","每 {1} 点奉献使对敌人施加的非伤害异常状态效果提高 {0}"
"{0} reduced Effect of non-Damaging Ailments on Enemies per {1} Devotion","每 {1} 点奉献使对敌人施加的非伤害异常状态效果降低 {0}"
"{0} increased Effect of non-Damaging Ailments you inflict with Critical Strikes","你暴击施加的非伤害型异常状态效果提高 {0}"
"{0} reduced Effect of non-Damaging Ailments you inflict with Critical Strikes","你暴击施加的非伤害型异常状态效果降低 {0}"
"Inflict non-Damaging Ailments as though dealing {0} more Damage","施加的非伤害型异常状态如同总伤害额外提高 {0}"
"Inflict non-Damaging Ailments as though dealing {0} less Damage","施加的非伤害型异常状态如同总伤害额外降低 {0}"
"Projectiles have {0} increased Critical Strike Chance against Targets they do not Pierce","投射物攻击无法被穿透的目标时，对它们的暴击率提高 {0}"
"Projectiles have {0} reduced Critical Strike Chance against Targets they do not Pierce","投射物攻击无法被穿透的目标时，对它们的暴击率降低 {0}"
"{0} increased Quantity of Items Dropped by Slain Normal Enemies","击败普通怪物的物品掉落数量提高 {0}"
"{0} reduced Quantity of Items Dropped by Slain Normal Enemies","击败普通怪物的物品数量降低 {0}"
"Nova Spells deal {0} less Damage to Players","新星法术对玩家造成的总伤害额外降低 {0}"
"Projectiles Chain {0} times while you have Phasing","你在迷踪状态下，投射物连锁次数 {0}"
"{0} to maximum number of Flame Walls","烈焰之墙数量上限 {0}"
"Skills fire {0} less projectiles","技能发射的投射物总量额外下降 {0}"
"Skills fire {0} more projectiles","技能发射的投射物总量额外增加 {0}"
"{1} to maximum number of Raised Zombies per {0} Strength","每 {0} 点力量可使魔卫的召唤上限 {1}"
"{0} increased Off Hand Attack Speed while wielding two different Weapon Types","双持两种不同类型的武器时，副手攻击速度加快 {0}"
"{0} reduced Off Hand Attack Speed while wielding two different Weapon Types","双持两种不同类型的武器时，副手攻击速度减慢 {0}"
"Offering Skills have {0} increased Duration","奉献技能的持续时间提高 {0}"
"Offering Skills have {0} reduced Duration","奉献技能的持续时间降低 {0}"
"When you Cast a Spell, Sacrifice all Mana to gain Added Maximum Lightning Damage equal to {0} of Sacrificed Mana for {1} seconds","当你施放法术时，献祭所有魔力，获得等同于献祭魔力 {0} 的附加最大闪电伤害，持续 {1} 秒"
"When you create a Banner, it gains {0} of the Stages of your placed Banner","当你创建旗帜时，它会获得你当前放置旗帜等阶的 {0}"
"When you place a Banner, you and nearby Allies Recover {0} of Life for each Stage the Banner has","当你放置一面旗帜，该旗帜每阶使你和周围友军回复 {0} 生命"
"{0} increased Onslaught duration","猛攻持续时间延长 {0}"
"{0} reduced Onslaught duration","猛攻持续时间缩短 {0}"
"Orb of Storms has {0} increased Cast Speed","【风暴漩涡】的施法速度提高 {0}"
"Your Maximum Resistances are {0}","你的最大抗性为 {0}"
"Base Critical Strike Chance for Attacks with Weapons is {0}","基础武器暴击率为 {0}"
"{0} more Duration of Poisons on You","你身上的总中毒持续时间额外延长 {0}"
"{0} less Duration of Poisons on You","你身上的总中毒持续时间额外缩短 {0}"
"Poisons you inflict during any Flask Effect have {0} chance to deal {1} more Damage","在药剂生效期间，你造成的中毒效果有 {0} 的几率伤害提高 {1}"
"Penance Brand has {0} increased Area of Effect","【忏悔烙印】的效果区域扩大 {0}"
"Penance Brand has {0} reduced Area of Effect","【忏悔烙印】的效果区域缩小 {0}"
"Penance Brand has {0} increased Cast Speed","【忏悔烙印】的施法速度加快 {0}"
"Penance Brand has {0} reduced Cast Speed","【忏悔烙印】的施法速度减慢 {0}"
"Penance Brand deals {0} increased Damage","【忏悔烙印】的伤害提高 {0}"
"Penance Brand deals {0} reduced Damage","【忏悔烙印】的伤害降低 {0}"
"{0} chance to gain an Endurance Charge each second while Channelling","持续吟唱时，每秒有 {0} 的几率获得一个耐力球"
"{0} chance to gain an Endurance, Frenzy or Power Charge when any of your Traps are Triggered by an Enemy","当你的任何陷阱被敌人触发时，有 {0} 的几率获得 1 个耐力球、狂怒球或暴击球"
"While in Her Embrace, take {0} of your total Maximum Life and Energy Shield as Fire Damage per second per Level","受到【她的拥抱】影响时，每级根据你的最大生命和最大护盾总量，造成每秒 {0} 火焰伤害"
"{0} increased Maximum number of Summoned Raging Spirits","召唤愤怒狂灵的最大数量提高 {0}"
"{0} reduced Maximum number of Summoned Raging Spirits","召唤愤怒狂灵的最大数量减少 {0}"
"Summoned Phantasms have {0} chance to refresh their Duration when they Hit a Unique Enemy","召唤的幻灵击中传奇敌人时，有 {0} 的几率刷新持续时间"
"Phase Run does not replace the Buff when you use a Skill",你使用技能时，暗影迷踪不会替换该增益效果
"Phase Run has {0} chance not to replace the Buff when you use a Skill","你使用技能时暗影迷踪有 {0} 的几率不会替换该增益效果"
"Seismic Trap has {0} increased Cooldown Recovery Rate","【震波陷阱】的冷却回复速度提高 {0}"
"Seismic Trap has {0} reduced Cooldown Recovery Rate","【震波陷阱】的冷却回复速度降低 {0}"
"Seismic Trap deals {0} increased Damage","【震波陷阱】的伤害提高 {0}"
"Seismic Trap deals {0} reduced Damage","【震波陷阱】的伤害降低 {0}"
"Seismic Trap has {0} increased Skill Effect Duration","【震波陷阱】的技能效果持续时间延长 {0}"
"Seismic Trap has {0} reduced Skill Effect Duration","【震波陷阱】的技能效果持续时间缩短 {0}"
"{0} increased Physical Damage for each Map Item Modifier affecting the Area","每有 1 个地图物品属性影响该地区，则物理伤害提高 {0}"
"{0} of Physical Damage from Hits taken as Damage of a Random Element","受到击中物理伤害的 {0} 转化为随机元素伤害"
"{0} increased Physical Damage over Time taken while moving","移动时受到的物理持续伤害提高 {0}"
"{0} reduced Physical Damage over Time Damage taken while moving","移动时受到的物理持续伤害降低 {0}"
"Gain {0} of Physical Damage as Extra Chaos Damage against Poisoned Enemies","对中毒敌人时，获得额外混沌伤害，其数值等同于物理伤害的 {0}"
"Gain {0} of Physical Damage as Extra Fire Damage while affected by Anger","受到【愤怒】影响时，获得物理伤害 {0} 的额外火焰伤害"
"Gain {0} of Physical Damage as Extra Fire Damage if you've dealt a Critical Strike Recently","若你近期内打出过暴击，则获得物理伤害 {0} 的额外火焰伤害"
"Gain {0} of Physical Damage as Extra Fire Damage per {1} Rage","每 {1} 点怒火都获得额外火焰伤害， 其数值等同于物理伤害的 {0}"
"Gain {0} of Physical Damage as Extra Lightning Damage while affected by Wrath","受到【雷霆】影响时，获得物理伤害 {0} 的额外闪电伤害"
"Gain {0} of Physical Damage as Extra Damage of a random Element while you are Ignited ","你被点燃时，将物理伤害的 {0} 视为一种随机元素额外伤害"
"{0} of Physical Damage Converted to Cold Damage while you have at least {1} Devotion","至少 {1} 点奉献时，{0} 的物理伤害转换为冰霜伤害"
"{0} of Physical Damage Converted to Fire Damage while you have at least {1} Devotion","至少 {1} 点奉献时，{0} 的物理伤害转换为火焰伤害"
"{0} of Physical Damage Converted to Lightning Damage while you have at least {1} Devotion","至少 {1} 点奉献时，{0} 的物理伤害转换为闪电伤害"
"{0} increased Physical Damage per {1} Rage","每 {1} 点怒火使物理伤害提高 {0}"
"{0} reduced Physical Damage per {1} Rage","每 {1} 点怒火使物理伤害降低 {0}"
"{0} increased Physical Damage with Hits and Ailments against Ignited Enemies","对点燃敌人的击中物理伤害和异常状态伤害提高 {0}"
"{0} reduced Physical Damage with Hits and Ailments against Ignited Enemies","对点燃敌人的击中物理伤害和异常状态伤害降低 {0}"
"{0} increased Physical Damage while affected by Herald of Purity","受到【纯净之捷】影响时，物理伤害提高 {0}"
"{0} reduced Physical Damage while affected by Herald of Purity","受到【纯净之捷】影响时，物理伤害降低 {0}"
"{0} increased Physical Damage with Axes or Swords","斧类或剑类的物理伤害提高 {0}"
"{0} reduced Physical Damage with Axes or Swords","斧类或剑类的物理伤害降低 {0}"
"{0} increased Physical Damage while you have Unholy Might","获得不洁之力时物理伤害提高 {0}"
"{0} reduced Physical Damage while you have Unholy Might","获得不洁之力时物理伤害降低 {0}"
"{0} additional Physical Damage Reduction while you have at least {1} Devotion","至少 {1} 点奉献时，额外获得 {0} 物理伤害减免"
"{0} additional Physical Damage Reduction per Frenzy Charge","每有一个狂怒球，可使你获得额外 {0} 物理伤害减免"
"{0} additional Physical Damage Reduction for each Hit you've taken Recently up to a maximum of {1}","近期每受到 1 次击中伤害，下次承受的物理伤害減少 {0}，最多 {1}"
"{0} additional Physical Damage Reduction per Power Charge","每有一个暴击球，可使你获得额外 {0} 物理伤害减免"
"{0} additional Physical Damage Reduction while affected by Herald of Purity","受到【纯净之捷】影响时，获得额外 {0} 物理伤害减免"
"{0} additional Physical Damage Reduction while there is only one nearby Enemy","若附近只有 1 个敌人，则受到的物理伤害降低 {0}"
"{0} increased Armour per Endurance Charge","每有一个耐力球，护甲提高 {0}"
"{0} additional Physical Damage Reduction for each nearby Enemy, up to {1}","身边每存在 1 个敌人，受到的物理伤害便降低 {0}，最多 {1}"
"{0} of Physical Damage from Hits taken as Cold Damage while affected by Purity of Elements","受到【元素净化】影响时，受到击中物理伤害的 {0} 转换为冰霜伤害"
"{0} of Physical Damage from Hits taken as Cold Damage while affected by Purity of Ice","受到【冰霜净化】影响时，受到击中物理伤害的 {0} 转换为冰霜伤害"
"{0} of Physical Damage from Hits taken as Fire Damage while affected by Purity of Elements","受到【元素净化】影响时，受到击中物理伤害的 {0} 转换为火焰伤害"
"{0} of Physical Damage from Hits taken as Fire Damage while affected by Purity of Fire","受到【火焰净化】影响时，受到击中物理伤害的 {0} 转换为火焰伤害"
"{0} of Physical Damage from Hits taken as Lightning Damage while affected by Purity of Elements","受到【元素净化】影响时，受到击中物理伤害的 {0} 转换为闪电伤害"
"{0} of Physical Damage from Hits taken as Lightning Damage while affected by Purity of Lightning","受到【闪电净化】影响时，受到击中物理伤害的 {0} 转换为闪电伤害"
"{0} increased Physical Damage with Attack Skills","攻击技能物理伤害提高 {0}"
"{0} reduced Physical Damage with Attack Skills","攻击技能物理伤害降低 {0}"
"{0} increased Physical Damage with Spell Skills","法术技能的物理伤害提高 {0}"
"{0} reduced Physical Damage with Spell Skills","法术技能的物理伤害降低 {0}"
"{0} to Physical Damage over Time Multiplier while wielding an Axe or Sword","持斧类或剑类时，{0} 持续物理伤害加成"
"You and your Minions take {0} increased Reflected Physical Damage","你和你的召唤生物受到的反射物理伤害提高 {0}"
"You and your Minions take {0} reduced Reflected Physical Damage","你和你的召唤生物受到的反射物理伤害降低 {0}"
"Projectiles have {0} increased Critical Strike Chance against Targets they Pierce","投射物穿透目标后，投射物对它们的暴击率提高 {0}"
"Projectiles have {0} reduced Critical Strike Chance against Targets they Pierce","投射物穿透目标后，投射物对它们的暴击率降低 {0}"
"Placed Banners also grant {0} increased Attack Damage to you and Allies","放置的旗帜也使你和友军的攻击伤害提高 {0}"
"Placed Banners also grant {0} reduced Attack Damage to you and Allies","放置的旗帜也使你和友军的攻击伤害降低 {0}"
"Plague Bearer Grants {0} increased Chaos Damage taken while Incubating","瘟疫使徒在孕育时，使承受的混沌伤害提高 {0}"
