" Beyond Bosses cannot spawn","이계 보스가 생성되지 않음"
"Only applies Hexes from [Curse] Skill Gems requiring Level {0} or lower","요구 레벨이 {0} 이하인 저주 스킬 젬의 사술만 적용 가능"
"Modifiers to [Totem] Life also affects [Minion|Minions] from this Skill","[Totem|토템] 생명력 속성이 이 스킬로 소환된 [Minion|소환수]에게도 영향을 미침"
"{0} to any [Attributes|Attribute]","아무 [Attributes|능력치]나 {0}"
"Dodge Roll avoids all [HitDamage|Hits]","회피 구르기가 모든 [HitDamage|명중] 긴급회피"
"Dodge Roll passes through Enemies","회피 구르기가 적들을 통과함"
"{0}% to Damage over Time Multiplier if you've dealt a [Critical|Critical Hit] in the past {1} seconds","지난 {1}초 이내에 치명타 명중 시 지속 피해 배율 {0}%"
"{0}% chance to deal Double Damage if [Strength] is below {1}","힘이 {1} 미만일 때 {0}%의 확률로 2배의 피해를 줌"
"Double the number of your [Poison|Poisons] that targets can be affected by at the same time","대상이 동시에 영향을 받을 수 있는 플레이어의 [Poison|중독] 효과 개수 2배"
"Break enemy [Concentration] on [HitDamage|Hit] equal to {0}% of Damage Dealt","[HitDamage|명중] 시 준 피해의 {0}%만큼 적의 [Concentration|집중] 깨짐"
"Enemies lose {0} [Flask] Charges every {1} seconds and cannot gain [Flask] Charges for {2} seconds after being Hit","적이 {1}초마다 플라스크 충전 {0} 상실, 피격 후 {2}초 동안 플라스크 충전 획득 불가"
"Dual Strike has {0}% increased [Attack] Speed while wielding a Claw","클로 장착 시 쌍수 타격의 공격 속도 {0}% 증가"
"Dual Strike has {0}% reduced [Attack] Speed while wielding a Claw","클로 장착 시 쌍수 타격의 공격 속도 {0}% 감소"
"Dual Strike has {0}% to [CriticalDamageBonus|Critical Damage Bonus] while wielding a Dagger","단검 장착 시 쌍수 타격의 치명타 피해 배율 {0}%"
"Inherent [Attack] Speed bonus from Dual Wielding is doubled while wielding two Claws","클로 2개 장착 시 쌍수 장착으로 인한 격노 공격 속도 보너스가 2배"
"Final Repeat of [Attack] Skills deals {0}% more Damage","공격 스킬 마지막 반복 시 피해 {0}% 증폭"
"Final Repeat of [Attack] Skills deals {0}% less Damage","공격 스킬 마지막 반복 시 피해 {0}% 감폭"
"Enemies you [Electrocute|Electrocute] have {0}% increased Damage taken","플레이어가 [Electrocute|전기 처형]하는 적이 받는 피해 {0}% 증가"
"Enemies you [Electrocute|Electrocute] have {0}% reduced Damage taken","플레이어가 [Electrocute|전기 처형]하는 적이 받는 피해 {0}% 감소"
"[ElementalDamage|Elemental Damage] also [Contributes] to [Bleeding|Bleeding] [BuffMagnitude|Magnitude]","[ElementalDamage|원소 피해]가 [Bleeding|출혈] 유발 가능"
"{0}% increased Elemental Damage if you've Killed a [Curse|Cursed] Enemy [Recently]","최근 4초 이내 저주받은 적을 처치한 경우 원소 피해 {0}% 증가"
"{0}% reduced Elemental Damage if you've Killed a [Curse|Cursed] Enemy [Recently]","최근 4초 이내 저주받은 적을 처치한 경우 원소 피해 {0}% 감소"
"{0}% increased [ElementalDamage|Elemental] Damage if you've [Chill|Chilled] an Enemy [Recently]","최근 4초 이내 적을 냉각시킨 경우 원소 피해 {0}% 증가"
"{0}% reduced [ElementalDamage|Elemental] Damage if you've [Chill|Chilled] an Enemy [Recently]","최근 4초 이내 적을 냉각시킨 경우 원소 피해 {0}% 감소"
"{0}% increased [ElementalDamage|Elemental] Damage if you've [Ignite|Ignited] an Enemy [Recently]","최근 4초 이내 적을 점화시킨 경우 원소 피해 {0}% 증가"
"{0}% reduced [ElementalDamage|Elemental] Damage if you've [Ignite|Ignited] an Enemy [Recently]","최근 4초 이내 적을 점화시킨 경우 원소 피해 {0}% 감소"
"{0}% increased [ElementalDamage|Elemental] Damage if you've [Shock|Shocked] an Enemy [Recently]","최근 4초 이내 적을 감전시킨 경우 원소 피해 {0}% 증가"
"{0}% reduced [ElementalDamage|Elemental] Damage if you've [Shock|Shocked] an Enemy [Recently]","최근 4초 이내 적을 감전시킨 경우 원소 피해 {0}% 감소"
"{0}% increased Elemental Damage if you've dealt a [Critical|Critical Hit] [Recently]","최근 4초 이내 치명타 명중 시 원소 피해 {0}% 증가"
"{0}% reduced Elemental Damage if you've dealt a [Critical|Critical Hit] [Recently]","최근 4초 이내 치명타 명중 시 원소 피해 {0}% 감소"
"{0}% increased Elemental Damage if you've used a Warcry [Recently]","최근 4초 이내 함성을 사용한 경우 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage per {1} [Dexterity]","민첩 {1}당 원소 피해 {0}% 증가"
"{0}% reduced Elemental Damage per {1} [Dexterity]","민첩 {1}당 원소 피해 {0}% 감소"
"{0}% increased Elemental Damage per {1} [Intelligence]","지능 {1}당 원소 피해 {0}% 증가"
"{0}% reduced Elemental Damage per {1} [Intelligence]","지능 {1}당 원소 피해 {0}% 감소"
"{0}% increased Elemental Damage per {1} [Strength]","힘 {1}당 원소 피해 {0}% 증가"
"{0}% reduced Elemental Damage per {1} [Strength]","힘 {1}당 원소 피해 {0}% 감소"
"{0}% increased [ElementalDamage|Elemental Damage] per [Charges|Power charge]","[Charges|권능 충전] 하나당 [ElementalDamage|원소 피해] {0}% 증가"
"{0}% reduced [ElementalDamage|Elemental Damage] per [Charges|Power charge]","[Charges|권능 충전] 하나당 [ElementalDamage|원소 피해] {0}% 감소"
"{0}% of [ElementalDamage|Elemental Damage] taken [Recoup|Recouped] as Life","받은 [ElementalDamage|원소 피해]의 {0}%를 생명력으로 [Recoup|회생]"
"{0}% increased Elemental Damage taken if you have been Hit [Recently]","최근 4초 이내 피격된 경우 받는 원소 피해 {0}% 증가"
"{0}% reduced Elemental Damage taken if you have been Hit [Recently]","최근 4초 이내 피격된 경우 받는 원소 피해 {0}% 감소"
"{0}% increased Elemental Damage with [Attack] Skills per Power Charge","권능 충전 하나당 공격 스킬의 원소 피해 {0}% 증가"
"{0}% reduced Elemental Damage with [Attack] Skills per Power Charge","권능 충전 하나당 공격 스킬의 원소 피해 {0}% 감소"
"Your Elemental Resistances cannot be lowered by [Curse|Curses]","플레이어의 원소 저항이 저주로 낮아지지 않음"
"{0} to Level of all [ElementalDamage|Elemental] Skills","모든 [ElementalDamage|원소] 스킬 레벨 {0}"
"Elemental Storm has {0}% more Cooldown Recovery Rate","원소 폭풍의 재사용 대기시간 회복 속도 {0}% 증폭"
"Elemental Storm has {0}% less Cooldown Recovery Rate","원소 폭풍의 재사용 대기시간 회복 속도 {0}% 감폭"
"Your [Chill|Chills] can [Slow] targets by up to a maximum of {0}%","플레이어의 [Chill|냉각]이 대상을 최대 {0}% [Slow|감속]"
"{0}% more [BuffMagnitude|Magnitude] of [Ignite|Ignite] you inflict","플레이어가 유발하는 [Ignite|점화]의 [BuffMagnitude|강도] {0}% 증폭"
"{0}% less [BuffMagnitude|Magnitude] of [Ignite|Ignite] you inflict","플레이어가 유발하는 [Ignite|점화]의 [BuffMagnitude|강도] {0}% 감폭"
"Exerted [Attack|Attacks] have {0}% chance to deal Double Damage","전력 공격이 {0}%의 확률로 2배의 피해를 줌"
"[Empowered] [Attack|Attacks] have {0}% increased [Stun] Buildup","[Empowered|강화]된 [Attack|공격]의 [Stun|기절] 축적 {0}% 증가"
"[Empowered] [Attack|Attacks] have {0}% reduced [Stun] Buildup","[Empowered|강화]된 [Attack|공격]의 [Stun|기절] 축적 {0}% 감소"
"{0}% increased Mana Regeneration Rate if you've cast a Spell [Recently]","최근 4초 이내 주문을 시전한 경우 마나 재생 속도 {0}% 증가"
"{0}% reduced Mana Regeneration Rate if you've cast a Spell [Recently]","최근 4초 이내 주문을 시전한 경우 마나 재생 속도 {0}% 감소"
"{0}% chance to gain an Endurance Charge on Hitting an Enemy with no [Armour]","방어도가 없는 적 명중 시 {0}%의 확률로 인내 충전 획득"
"Enemies are [Maim|Maimed] for {0} second after becoming [Pinned|Unpinned]","적의 [Pinned|고정이 해제]되고 {0}초 후에 적이 힘줄 절단 상태가 됨"
"Enemies are [Maim|Maimed] for {0} seconds after becoming [Pinned|Unpinned]","적의 [Pinned|고정이 해제]되고 {0}초 후에 적이 힘줄 절단 상태가 됨"
"Enemies [Chill|Chilled] by your [HitDamage|Hits] increase damage taken by [Chill] [BuffMagnitude|Magnitude]","플레이어에게 피격되어 냉각된 적이 받는 피해가 냉각 효과만큼 증가"
"Enemies [Curse|Cursed] by you have {0}% increased Life Regeneration Rate","플레이어가 저주를 건 적의 생명력 재생 속도 {0}% 증가"
"Enemies [Curse|Cursed] by you have {0}% reduced Life Regeneration Rate","플레이어가 저주를 건 적의 생명력 재생 속도 {0}% 감소"
"Enemies Killed with [Attack] Hits have a {0}% chance to Explode, dealing a tenth of their Life as Physical Damage","공격에 적중되어 사망한 적이 {0}%의 확률로 폭발하여, 생명력의 1/10을 물리 피해로 줌"
"[Lightning] Damage of Enemies [HitDamage|Hitting] you is [Lucky]","적에게 [HitDamage|명중]되어 받는 [Lightning|번개] 피해에 [Lucky|행운] 적용"
"[Lightning] Damage of Enemies [HitDamage|Hitting] you is [Unlucky]","적에게 [HitDamage|명중]되어 받는 [Lightning|번개] 피해에 [Unlucky|불운] 적용"
"Enemies in your [Presence|Presence] are [Blind|Blinded]","[Presence|접근]해 있는 적들이 [Blind|실명]됨"
"Enemies in your [Presence|Presence] are [Intimidate|Intimidated]","[Presence|접근]해 있는 적들이 [Intimidate|위협]에 걸림"
"Enemies in your [Presence|Presence] have {0}% increased Cooldown Recovery Rate","[Presence|접근]해 있는 적의 재사용 대기시간 회복 속도 {0}% 증가"
"Enemies in your [Presence|Presence] have {0}% reduced Cooldown Recovery Rate","[Presence|접근]해 있는 적의 재사용 대기시간 회복 속도 {0}% 감소"
"Enemies in your [Presence|Presence] Resist [ElementalDamage|Elemental Damage] based on their Lowest [Resistances|Resistance]","플레이어에게 [Presence|접근]해 있는 적들이 가장 낮은 [Resistances|저항]에 기반하여 [ElementalDamage|원소 피해]에 저항"
"Enemies in your [Presence|Presence] gain [CriticalWeakness|Critical Weakness] every second","[Presence|접근]해 있는 적들이 1초마다 [CriticalWeakness|치명타 약화] 획득"
"Enemies in your [Presence|Presence] have [Exposure|Fire Exposure]","[Presence|접근]해 있는 적들에게 [Exposure|화염 노출] 유발"
"Enemies in your [Presence] have [Lightning|Lightning Resistance] equal to yours","[Presence|접근]해 있는 적이 플레이어와 동일한 [Lightning|번개 저항] 획득"
"Enemies near corpses affected by your [Curse|Curses] are Blinded","자신이 건 저주에 영향을 받는 시신 근처의 적 실명 유발"
"Enemies Killed near corpses affected by your [Curse|Curses] explode, dealing","자신이 건 저주에 영향을 받는 시신 근처에 있는 적 사망 시 폭발하여"
"Enemies near Enemies you [Mark] are [Blind|Blinded]","플레이어가 [Mark|징표]를 찍는 적 주변의 적들이 [Blind|실명]됨"
"Enemies Taunted by you cannot Evade [Attack|Attacks]","플레이어가 도발한 적은 공격 회피 불가"
"Enemies that have Hit you with an [Attack] Recently have {0}% increased [Attack] Speed","최근 4초 이내 공격으로 플레이어를 명중한 적의 공격 속도 {0}% 증가"
"Enemies that have Hit you with an [Attack] Recently have {0}% reduced [Attack] Speed","최근 4초 이내 공격으로 플레이어를 명중한 적의 공격 속도 {0}% 감소"
"Enemies Blinded by you have {0}% increased [Critical|Critical Hit] Chance","플레이어가 실명시킨 적의 치명타 확률 {0}% 증가"
"Enemies Blinded by you have {0}% reduced [Critical|Critical Hit] Chance","플레이어가 실명시킨 적의 치명타 확률 {0}% 감소"
"Enemies you [Curse] are Intimidated","플레이어가 저주한 적은 위협에 걸림"
"Enemies you [Curse] are Unnerved","플레이어가 저주한 적은 낙담에 걸림"
"Enemies you [Curse] cannot Recharge [EnergyShield|Energy Shield]","플레이어가 저주한 적이 에너지 보호막 재충전 불가"
"Enemies you [Curse] are [Hinder|Hindered], with {0}% reduced Movement Speed","플레이어가 저주한 적은 이동 방해를 받아 이동 속도가 {0}% 감소"
"Enemies [Ignite|Ignited] by you take [Chaos] Damage instead of [Fire] Damage from [Ignite]","플레이어에 의해 점화된 적이 화염 피해 대신 카오스 피해를 받음"
"Hits against Enemies Unnerved by you have {0}% increased Spell [Critical|Critical Hit] Chance","플레이어가 낙담시킨 적에게 적중 시 주문 치명타 확률 {0}% 증가"
"Hits against Enemies Unnerved by you have {0}% reduced Spell [Critical|Critical Hit] Chance","플레이어가 낙담시킨 적에게 적중 시 주문 치명타 확률 {0}% 감소"
"Enemies have {0}% increased [Evasion] if you have Hit them [Recently]","최근 4초 이내 명중한 적의 회피 {0}% 증가"
"Enemies have {0}% reduced [Evasion] if you have Hit them [Recently]","최근 4초 이내 명중한 적의 회피 {0}% 감소"
"[Spell] [HitDamage|Hits] against you have {0}% increased [Critical|Critical Hit Chance]","플레이어에 대한 [Spell|주문] [HitDamage|명중]의 [Critical|치명타 명중 확률] {0}% 증가"
"[Spell] [HitDamage|Hits] against you have {0}% reduced [Critical|Critical Hit Chance]","플레이어에 대한 [Spell|주문] [HitDamage|명중]의 [Critical|치명타 명중 확률] {0}% 감소"
"[Meta] Skills gain {0}% increased [Energy]","[Meta|메타] 스킬의 [Energy|에너지] 획득 {0}% 증가"
"[Meta] Skills gain {0}% reduced [Energy]","[Meta|메타] 스킬의 [Energy|에너지] 획득 {0}% 감소"
"[Meta] Skills gain {0}% more [Energy]","[Meta|메타] 스킬의 [Energy|에너지] 획득 {0}% 증폭"
"[Meta] Skills gain {0}% less [Energy]","[Meta|메타] 스킬의 [Energy|에너지] 획득 {0}% 감폭"
"[Energy] Generation is doubled","[Energy|에너지] 생성량 2배"
"{0}% increased Maximum [EnergyShield|Energy Shield] if both Equipped Rings have [Evasion] Modifiers","장착한 반지 양쪽에 회피 속성이 부여된 경우 에너지 보호막 최대치 {0}% 증가"
"{0}% reduced Maximum [EnergyShield|Energy Shield] if both Equipped Rings have [Evasion] Modifiers","장착한 반지 양쪽에 회피 속성이 부여된 경우 에너지 보호막 최대치 {0}% 감소"
"{0}% increased [EnergyShield|Energy Shield] if you've consumed a [Charges|Power Charge] [Recently|Recently]","[Recently|최근 4초 이내] [Charges|권능 충전]을 소모한 경우 [EnergyShield|에너지 보호막] {0}% 증가"
"{0}% reduced [EnergyShield|Energy Shield] if you've consumed a [Charges|Power Charge] [Recently|Recently]","[Recently|최근 4초 이내] [Charges|권능 충전]을 소모한 경우 [EnergyShield|에너지 보호막] {0}% 감소"
"{0} to [EnergyShield|Energy Shield] per {1} [Evasion] on Equipped Boots","장착한 장화의 회피 {1}당 에너지 보호막 {0}"
"Increases and Reductions to Maximum [EnergyShield|Energy Shield] instead apply to Ward","에너지 보호막 최대치 증가 및 감소가 에너지 보호막이 아닌 수호에 적용"
"{0}% [FasterESRechargeStart|faster start of Energy Shield Recharge] if you've been [Stun|Stunned] [Recently]","[Recently|최근 4초 이내] [Stun|기절]한 경우 [FasterESRechargeStart|에너지 보호막 재충전 시작 속도] {0}% 가속"
"{0}% [FasterESRechargeStart|slower start of Energy Shield Recharge] if you've been [Stun|Stunned] [Recently]","[Recently|최근 4초 이내] [Stun|기절]한 경우 [FasterESRechargeStart|에너지 보호막 재충전 시작 속도] {0}% 감속"
"{0}% [FasterESRechargeStart|faster start of Energy Shield Recharge] when not on Full Life","생명력이 최대가 아닐 때 [FasterESRechargeStart|에너지 보호막 재충전 시작 속도] {0}% 가속"
"{0}% [FasterESRechargeStart|slower start of Energy Shield Recharge] when not on Full Life","생명력이 최대가 아닐 때 [FasterESRechargeStart|에너지 보호막 재충전 시작 속도] {0}% 감속"
"{0}% [FasterESRechargeStart|faster start of Energy Shield Recharge] while affected by Discipline","단련의 영향을 받는 동안 에너지 보호막 재충전 시작 속도 {0}% 가속"
"{0}% [FasterESRechargeStart|slower start of Energy Shield Recharge] while affected by Discipline","단련의 영향을 받는 동안 에너지 보호막 재충전 시작 속도 {0}% 감속"
"{0}% increased [EnergyShield|Energy Shield] from Equipped [Focus]","장착한 [집중구]로 얻는 [EnergyShield|에너지 보호막] {0}% 증가"
"{0}% reduced [EnergyShield|Energy Shield] from Equipped [Focus]","장착한 [집중구]로 얻는 [EnergyShield|에너지 보호막] {0}% 감소"
"{0}% increased Maximum [EnergyShield|Energy Shield] from Equipped Gloves and Boots","장착한 장갑 및 장화가 제공하는 에너지 보호막 최대치 {0}% 증가"
"{0}% reduced Maximum [EnergyShield|Energy Shield] from Equipped Gloves and Boots","장착한 장갑 및 장화가 제공하는 에너지 보호막 최대치 {0}% 감소"
"{0}% increased [EnergyShield|Energy Shield] from Equipped Helmet","장착한 투구로 얻는 에너지 보호막 {0}% 증가"
"{0}% reduced [EnergyShield|Energy Shield] from Equipped Helmet","장착한 투구로 얻는 에너지 보호막 {0}% 감소"
"Gain {0} [EnergyShield|Energy Shield] per Enemy Hit while affected by Discipline","단련의 영향을 받는 동안 명중한 적 하나당 에너지 보호막 {0} 획득"
"Lose {0} [EnergyShield|Energy Shield] per Enemy Hit while affected by Discipline","단련의 영향을 받는 동안 명중한 적 하나당 에너지 보호막 {0} 상실"
"Gain {0} [EnergyShield|Energy Shield] for each Enemy you Hit which is affected by a Spider's Web","거미줄의 영향을 받는 적을 명중할 때마다 에너지 보호막 {0} 획득"
"[EnergyShield|Energy Shield] is increased by [OvercappedResist|Overcapped] [Resistances|Cold Resistance]","제한 초과 [Resistances|냉기 저항]에 따라 [EnergyShield|에너지 보호막] 증가"
"You lose {0}% of [EnergyShield|Energy Shield] per second","1초마다 에너지 보호막 {0}% 상실"
"{0} Maximum [EnergyShield|Energy Shield] per Level","1레벨당 에너지 보호막 최대치 {0}"
"{0}% increased [EnergyShield|Energy Shield] per {1} [Strength]","힘 {1}당 에너지 보호막 {0}% 증가"
"{0}% increased [EnergyShield|Energy Shield] per Power Charge","권능 충전 하나당 에너지 보호막 {0}% 증가"
"{0}% increased [ESRechargeRate|Energy Shield Recharge Rate] if Equipped Amulet has an [Evasion] Modifier","장착한 목걸이에 회피 속성이 부여된 경우 에너지 보호막 재충전 속도 {0}% 증가"
"{0}% reduced [ESRechargeRate|Energy Shield Recharge Rate] if Equipped Amulet has an [Evasion] Modifier","장착한 목걸이에 회피 속성이 부여된 경우 에너지 보호막 재충전 속도 {0}% 감소"
"[ESRecharge|Energy Shield Recharge] starts when you are Stunned","기절 시 에너지 보호막 재충전 시작"
"{0}% chance for [ESRecharge|Energy Shield Recharge] to start when you Kill an Enemy","적 처치 시 {0}%의 확률로 에너지 보호막 재충전 시작"
"{0}% chance for [ESRecharge|Energy Shield Recharge] to start when you use a Skill","스킬 사용 시 {0}%의 확률로 에너지 보호막 재충전 시작"
"{0}% increased [EnergyShield|Energy Shield] Recovery Rate if you haven't Killed [Recently]","최근 4초 이내 적을 처치하지 않은 경우 에너지 보호막 회복 속도 {0}% 증가"
"{0}% reduced [EnergyShield|Energy Shield] Recovery Rate if you haven't Killed [Recently]","최근 4초 이내 적을 처치하지 않은 경우 에너지 보호막 회복 속도 {0}% 감소"
"{0}% increased [EnergyShield|Energy Shield] Recovery Rate if you haven't been [HitDamage|Hit] [Recently]","[Recently|최근 4초 이내] 명중당하지 않은 경우 [EnergyShield|에너지 보호막] 회복 속도 {0}% 증가"
"{0}% reduced [EnergyShield|Energy Shield] Recovery Rate if you haven't been [HitDamage|Hit] [Recently]","[Recently|최근 4초 이내] 명중당하지 않은 경우 [EnergyShield|에너지 보호막] 회복 속도 {0}% 감소"
"{0}% increased [EnergyShield|Energy Shield] Recovery Rate while affected by Discipline","단련의 영향을 받는 동안 에너지 보호막 회복 속도 {0}% 증가"
"{0}% reduced [EnergyShield|Energy Shield] Recovery Rate while affected by Discipline","단련의 영향을 받는 동안 에너지 보호막 회복 속도 {0}% 감소"
"Regenerate {0}% of [EnergyShield|Energy Shield] per second if you've [Curse|Cursed] an Enemy [Recently]","최근 4초 이내 적 저주 시 1초마다 에너지 보호막의 {0}% 재생"
"Regenerate {0}% of [EnergyShield|Energy Shield] per second if you've Killed an Enemy [Recently]","최근 4초 이내 적 처치 시 1초마다 에너지 보호막의 {0}% 재생"
"Regenerate {0} [EnergyShield|Energy Shield] per second while a Rare or Unique Enemy is Nearby","주변에 희귀 또는 고유 적이 있는 동안 1초마다 에너지 보호막 {0} 재생"
"Regenerate {0} [EnergyShield|Energy Shield] per Second per Poison on you, up to {1} per second","자신에게 중첩된 중독 하나당 1초마다 에너지 보호막 {0} 재생, 최대 {1} 재생"
"Regenerate {0}% of [EnergyShield|Energy Shield] per second if you've Hit an Enemy [Recently]","최근 4초 이내 적 명중 시 1초마다 에너지 보호막의 {0}% 재생"
"Regenerate {0}% of [EnergyShield|Energy Shield] per Second while affected by Discipline","단련의 영향을 받는 동안 1초마다 에너지 보호막의 {0}% 재생"
"Regenerate {0} [EnergyShield|Energy Shield] per Second while on Consecrated Ground","신성화 지대에 머무는 동안 1초마다 에너지 보호막 {0} 재생"
"[Attack|Attacks] with this Weapon have Added Maximum Lightning Damage equal to {0}% of your Maximum [EnergyShield|Energy Shield]","이 무기로 공격 시 에너지 보호막 최대치의 {0}%와 동일한 번개 피해 최대치 추가"
"{0}% increased bonuses gained from Equipped Rings","장착 중인 반지로 받는 보너스 {0}% 증가"
"{0}% reduced bonuses gained from Equipped Rings","장착 중인 반지로 받는 보너스 {0}% 감소"
"Regenerate {0}% of [EnergyShield|Energy Shield] per second while stationary","정지 상태일 때 1초마다 에너지 보호막의 {0}% 재생"
"{0}% increased Essence Drain and Soulrend [Projectile|Projectile] Speed","정수 흡수 및 영혼 분리의 [Projectile|투사체] 속도 {0}% 증가"
"{0}% reduced Essence Drain and Soulrend [Projectile|Projectile] Speed","정수 흡수 및 영혼 분리의 [Projectile|투사체] 속도 {0}% 감소"
"Ethereal Knives fires an additional [Projectile|Projectile]","천상의 단도가 [Projectile|투사체] 1개 추가 발사"
"Ethereal Knives fires {0} additional [Projectile|Projectiles]","천상의 단도가 [Projectile|투사체] {0}개 추가 발사"
"Ethereal Knives fires [Projectile|Projectiles] in a circle","천상의 단도가 원형으로 [Projectile|투사체] 발사"
"{0}% increased [Evasion|Evasion Rating] if [ESRecharge|Energy Shield Recharge] has started in the past {1} seconds","최근 {1}초 이내에 에너지 보호막 재충전이 시작된 경우 회피 {0}% 증가"
"{0}% reduced [Evasion|Evasion Rating] if [ESRecharge|Energy Shield Recharge] has started in the past {1} seconds","최근 {1}초 이내에 에너지 보호막 재충전이 시작된 경우 회피 {0}% 감소"
"{0}% increased [Evasion] Rating per {1} [Intelligence]","지능 {1}당 회피 {0}% 증가"
"{0}% reduced [Evasion] Rating per {1} [Intelligence]","지능 {1}당 회피 {0}% 감소"
"{0}% increased [Evasion] Rating while Focused","집중하는 동안 회피 {0}% 증가"
"{0}% increased [Evasion|Evasion Rating] if you've consumed a [Charges|Frenzy Charge] [Recently|Recently]","[Recently|최근 4초 이내] [Charges|격분 충전]을 소모한 경우 [Evasion|회피] {0}% 증가"
"{0}% reduced [Evasion|Evasion Rating] if you've consumed a [Charges|Frenzy Charge] [Recently|Recently]","[Recently|최근 4초 이내] [Charges|격분 충전]을 소모한 경우 [Evasion|회피] {0}% 감소"
"{0}% increased [Evasion] Rating per {1} Maximum Mana, up to {2}%","최대 마나 {1}당 회피 {0}% 증가, 최대 {2}%"
"{0}% increased [Evasion|Evasion Rating] while [Surrounded|Surrounded]","[Surrounded|포위]당한 동안 [Evasion|회피] {0}% 증가"
"{0}% reduced [Evasion|Evasion Rating] while [Surrounded|Surrounded]","[Surrounded|포위]당한 동안 [Evasion|회피] {0}% 감소"
"{0} to [Evasion] Rating per {1} [Armour] on Equipped Gloves","장착한 장갑의 방어구 {1}당 회피 {0}"
"Physical Damage Reduction from [Armour] is based on your combined [Armour] and [Evasion] Rating","[Armour|방어도]의 물리 피해 감소가 [Armour|방어도] 및 [Evasion|회피]를 합쳐서 계산"
"{0}% increased [Evasion] Rating from Equipped Helmet and Boots","장착한 투구 및 장화가 제공하는 회피 {0}% 증가"
"{0}% reduced [Evasion] Rating from Equipped Helmet and Boots","장착한 투구 및 장화가 제공하는 회피 {0}% 감소"
"[Evasion] Rating is increased by Overcapped Cold Resistance","제한 초과 냉기 저항에 따라 회피 증가"
"[Evasion] Rating is increased by [OvercappedResist|Overcapped] [Resistances|Lightning Resistance]","제한 초과 [Resistances|번개 저항]에 따라 [Evasion|회피] 증가"
"{0}% of [Evasion] Rating is Regenerated as Life per second while Focused","집중하는 동안 1초마다 회피의 {0}%를 생명력으로 재생"
"[Gain] {0}% of [Evasion] Rating as extra [Armour]","회피의 {0}%를 추가 방어도로 획득"
"{0} to [Evasion] Rating if Hit an Enemy [Recently]","최근 4초 이내 적 명중 시 회피 {0}"
"{0} to [Evasion] Rating while you have Phasing","차원 능력을 보유한 상태에서 회피 {0}"
"{0} [Evasion] Rating while you have Tailwind","순풍 상태일 때 회피 {0}"
"{0}% increased [Evasion] Rating if you've Cast Dash recently","최근 4초 이내 질주를 시전한 경우 회피 {0}% 증가"
"{0}% reduced [Evasion] Rating if you've Cast Dash recently","최근 4초 이내 질주를 시전한 경우 회피 {0}% 감소"
"{0}% reduced [Evasion] Rating if you haven't been [HitDamage|Hit] [Recently]","최근 4초 이내 피격되지 않은 경우 회피 {0}% 감소"
"{0}% increased [Evasion] Rating if you haven't been [HitDamage|Hit] [Recently]","최근 4초 이내 피격되지 않은 경우 회피 {0}% 증가"
"{0}% increased [Evasion|Evasion Rating] if you've Dodge Rolled [Recently]","[Recently|최근 4초 이내] 회피 구르기를 한 경우 [Evasion|회피] {0}% 증가"
"{0}% reduced [Evasion|Evasion Rating] if you've Dodge Rolled [Recently]","[Recently|최근 4초 이내] 회피 구르기를 한 경우 [Evasion|회피] {0}% 감소"
"{0}% increased [Evasion] if you have Hit an Enemy [Recently]","최근 4초 이내 적 명중 시 회피 {0}% 증가"
"{0}% reduced [Evasion] if you have Hit an Enemy [Recently]","최근 4초 이내 적 명중 시 회피 {0}% 감소"
"{0}% increased [Evasion] Rating per Green Socket on Main Hand Weapon","주 무기의 초록 홈 하나당 회피 {0}% 증가"
"{0}% reduced [Evasion] Rating per Green Socket on Main Hand Weapon","주 무기의 초록 홈 하나당 회피 {0}% 감소"
"{0}% increased [Evasion|Evasion Rating] when on Full Life","생명력이 최대일 때 일반 [Evasion|회피] {0}% 증가"
"{0}% reduced [Evasion|Evasion Rating] when on Full Life","생명력이 최대일 때 일반 [Evasion|회피] {0}% 감소"
"{0}% increased [Evasion] while Leeching","흡수하는 동안 회피 {0}% 증가"
"{0}% reduced [Evasion] while Leeching","흡수하는 동안 회피 {0}% 감소"
"{0}% increased [Evasion] Rating while moving","이동 중 회피 {0}% 증가"
"{0}% reduced [Evasion] Rating while moving","이동 중 회피 {0}% 감소"
"{0}% increased [Evasion|Evasion Rating] while you have [EnergyShield|Energy Shield]","[EnergyShield|에너지 보호막]이 있는 동안 [Evasion|회피] {0}% 증가"
"{0}% reduced [Evasion|Evasion Rating] while you have [EnergyShield|Energy Shield]","[EnergyShield|에너지 보호막]이 있는 동안 [Evasion|회피] {0}% 감소"
"Every {1} seconds, Regenerate Life equal to {0}% of [Armour] and [Evasion] Rating over {2} second","{1}초마다 {2}초에 걸쳐 방어도 및 회피의 {0}%와 동일한 생명력 재생"
"[Empowered|Empowered Attacks] [Knockback|Knock Enemies Back] on Hit","[Empowered|강화된 공격]이 명중 시 [Knockback|적을 밀어냄]"
"[Empowered|Empowered Attacks] have a {0}% chance to [Knockback|Knock Enemies Back] on Hit","[Empowered|강화된 공격]이 명중 시 {0}%의 확률로 [Knockback|적을 밀어냄]"
"[Empowered|Empowered Attacks] [Overwhelm] {0}% of Physical Damage Reduction","[Empowered|강화된 공격]이 물리 피해 감소의 {0}% 압도"
